"R","V","sigmaV"
0.5,32,2.4
1,52.8,1.5
1.5,67.4,0.4
2,79.3,4
2.4,86.7,1.8
2.9,91.4,3.1
3.4,94.2,4.8
3.9,96.5,5.5
4.4,99.8,3.9
4.9,102.1,1.7
5.4,103.6,1.4
5.9,105.9,0.7
6.4,105.7,1.7
6.8,106.8,2.2
7.3,107.3,3
7.8,108.3,4
8.3,109.7,4
8.8,112,4.8
9.3,116.1,2.2
9.8,117.2,2.5
10.3,116.5,6.5
10.8,115.7,8.1
11.2,117.4,8.2
11.7,116.8,8.9
12.2,115.7,9.6
12.7,115.1,7.7
13.2,117.1,5.1
13.7,118.2,3.2
14.2,118.4,1.4
14.7,118.2,1.8
15.1,117.5,2.4
15.6,119.6,0.8
16.1,118.6,1.5
16.6,122.6,0.5
17.1,124.1,2.9
17.6,125,2.2
18.1,125.5,2.5
18.6,125.2,8.1
19.1,122,9.8
19.5,120.4,8.5
20,114,26.6
20.5,110,34.6
21,98.7,27.4
21.5,100.1,33.4
22,104.3,35.2
22.5,101.2,27.4
23,123.5,39.1
23.5,115.3,26.7
